Account,parsed_date,daily_pnl,total_fee,trade_count,win_trades,loss_trades,close_trades,buy_trades,total_volume_usd,avg_trade_size_usd,avg_equity_leverage,max_equity_leverage,avg_relative_leverage,avg_running_equity,fg_value,fg_class,win_rate,long_short_ratio,regime,leverage_group
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,167.796055,177,0,0,0,0,900880.13,5089.718248587571,0.05095382646749683,0.600575462504919,0.3149660620697269,99877.77862167796,76,Extreme Greed,0.5,0.0,Greed,High Leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,67.883615,68,0,0,0,0,542413.18,7976.6644117647065,0.07992836237043904,0.6599758674234378,0.4936183999816621,99781.34519394118,90,Extreme Greed,0.5,0.0,Greed,High Leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,94.937983,40,0,0,0,0,949380.0,23734.5,0.23807555761057544,6.678291310534004,1.4687575294110728,99699.4402363,83,Extreme Greed,0.5,0.0,Greed,High Leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,33.823995,12,0,12,12,12,338240.0,28186.666666666668,0.3234299912717346,0.8732134959575162,1.7442701087306147,86581.01357458332,94,Extreme Greed,0.0,1.0,Greed,High Leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,104.62249,27,12,0,12,12,465700.0,17248.14814814815,0.21649573086911417,1.655608787051899,1.067363856874602,79694.48755714815,79,Extreme Greed,1.0,0.8,Greed,High Leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,131.679967,82,0,82,82,82,1316799.98,16058.536341463414,67.66166408719509,721.8291,0.9937473366974545,22831.373429365853,77,Extreme Greed,0.0,1.0,Greed,High Leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,390.92155299999996,23,0,0,0,0,1116918.77,48561.68565217392,485.6168565217391,3827.2769,3.00513351629586,100.0,84,Extreme Greed,0.5,0.0,Greed,High Leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.000056,121.229992,33,0,33,33,33,1212299.96,36736.36242424243,367.3636242424243,8145.2417000000005,2.2733492980168144,100.0,72,Greed,0.0,1.0,Greed,High Leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,780.33644,465,23,89,112,112,5306093.62,11410.954021505377,114.10954021505376,2256.3732999999997,0.7061418878362545,100.0,77,Extreme Greed,0.20535714285714285,0.31728045325779036,Greed,High Leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,23.971493,51,28,0,28,28,479429.99,9400.588039215687,94.00588039215687,1569.6229999999998,0.5817347938018376,100.0,76,Extreme Greed,1.0,1.2173913043478262,Greed,High Leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,92.923496,10,9,0,9,9,1858470.0,185847.0,1858.47,9312.9,11.500734397963289,100.0,60,Greed,1.0,9.0,Greed,High Leverage
